SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
OFR,NOTEARS,FFMLP,30,30,,0.8692887798452642,0.22827679807112436,0.331350142391305,0.019677816233879774,0.0070460728005403775
OFR,NOTEARS,XGBoost,40,31,,0.9325386658560768,0.45377262159472026,0.44330854482261134,0.016197621097358117,0.012304565611120696
OFR,NOTEARS,LightGBM,40,31,,0.9303522446823138,0.4579845791466635,0.45789071581999224,0.016905518895767465,0.016843331300952363
OFR,NOTEARS,RF,40,31,,0.926783478443378,0.3840865781231252,0.3891456865662505,0.01668810243220576,0.0038653620352250484
OFR,NOTEARS,Logit,40,31,,0.9125547329034311,0.22357573933334693,0.3169550562459673,0.019907355922592213,0.0074181342033560055
OFR,NOTEARS,FFMLP,40,31,,0.8664437544781466,0.23747985091294846,0.32627315672259494,0.01988995768752907,0.00822389824865274
OFR,NOTEARS,XGBoost,ALL,31,,0.9325386658560768,0.45377262159472026,0.44330854482261134,0.016197621097358117,0.012304565611120696
OFR,NOTEARS,LightGBM,ALL,31,,0.9303522446823138,0.4579845791466635,0.45789071581999224,0.016905518770384993,0.016843331185894983
OFR,NOTEARS,RF,ALL,31,,0.926783478443378,0.3840865781231252,0.3891456865662505,0.01668810243220576,0.0038653620352250484
OFR,NOTEARS,Logit,ALL,31,,0.9125547329034311,0.22357573933334693,0.3169550562459673,0.019907355922592213,0.0074181342033560055
OFR,NOTEARS,FFMLP,ALL,31,,0.8664437544781466,0.23747985091294846,0.32627315672259494,0.01988995768752907,0.00822389824865274
OFR,PC,XGBoost,5,5,,0.8491991807253332,0.1859689734832623,0.22748832736892602,0.020190132560637543,0.011439464154851387
OFR,PC,RF,5,5,,0.8415184807231618,0.19505179156185287,0.2721506000330991,0.01965619972043612,0.00797752306402013
OFR,PC,LightGBM,5,5,,0.8386998718978657,0.17792408751124444,0.23686989592626895,0.021080346854808737,0.019367916445368227
OFR,PC,FFMLP,5,5,,0.731518914967685,0.06711192054484769,0.1171272695395873,0.021282127374698045,0.0018757179956430162
OFR,PC,Logit,5,5,,0.6987616793683189,0.04444868121778734,0.08024907091336878,0.02151485144289995,0.001705447432629356
OFR,PC,XGBoost,10,10,,0.9069138965484799,0.35248631669662084,0.3872552242366698,0.017489656694733673,0.01085623081615739
OFR,PC,RF,10,10,,0.8978808867273163,0.33653978432925924,0.35247518144669526,0.017546113055633212,0.0050404249370981265
OFR,PC,LightGBM,10,10,,0.8958008554617105,0.3493770518897127,0.40815838742586796,0.018902444556180665,0.01814941085102257
OFR,PC,FFMLP,10,10,,0.7791349125359156,0.10939732719583264,0.18162795734911416,0.02081945088171609,0.0039070470046136405
OFR,PC,Logit,10,10,,0.7515665371170506,0.09395383461058028,0.13420612924091915,0.021165989249395226,0.004182511839206089
OFR,PC,XGBoost,20,20,,0.9211455370519139,0.4305326495085202,0.4250663016459534,0.016331937040577373,0.010545923058511177
OFR,PC,LightGBM,20,20,,0.9159990157124144,0.42327225530870133,0.4440031182569739,0.017552349747251134,0.017307698626984194
OFR,PC,RF,20,20,,0.9081091545982876,0.3782451081552566,0.38140742947540474,0.01690140766005032,0.005020631814369583
OFR,PC,FFMLP,20,20,,0.828102134311831,0.15983287746284822,0.2410335321572053,0.020487761746687188,0.007866649625644293
OFR,PC,Logit,20,20,,0.8260597375715598,0.11947036984383463,0.1898417326812329,0.021133264881628012,0.005326062249574565
OFR,PC,XGBoost,30,30,,0.9356500278640235,0.4570531851595539,0.46354517827560715,0.01607537231442318,0.011650429322674084
OFR,PC,RF,30,30,,0.9315449696390704,0.40580634933468474,0.4057687512432012,0.01635982331562762,0.004813195415152362
OFR,PC,LightGBM,30,30,,0.9217129498954193,0.4596817280609954,0.48291235603173976,0.017027284612476178,0.0165367190681869
OFR,PC,Logit,30,30,,0.9169934356702927,0.24386669703655434,0.295888618344827,0.02001260678230006,0.009719812265938646
