SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
F,GES,FFMLP,4,4,db1c59c1705ef4da,0.5365272018006674,0.0233768219811154,0.0451708766716196,0.0216756204519317,0.00151324589071
F,GES,XGBoost,5,5,24f0eed1395e73aa,0.8885692366705026,0.1888966721374932,0.2980769230769231,0.0203404432943668,0.0104984041050322
F,GES,RF,5,5,24f0eed1395e73aa,0.8665439925888935,0.1768186039537832,0.3106796116504854,0.0199757472742521,0.0073502935420743
F,GES,LightGBM,5,5,24f0eed1395e73aa,0.8585050408551721,0.1833619630515058,0.2588235294117647,0.0212969214511883,0.0193282781708033
F,GES,FFMLP,5,5,24f0eed1395e73aa,0.5646011102184973,0.0274388293821414,0.0472972972972973,0.021601701443005,0.0019574793103039
F,GES,Logit,5,5,24f0eed1395e73aa,0.5640800167907882,0.0264972600515783,0.0431735351836276,0.0216949181704424,0.0011672862924353
F,GES,XGBoost,6,6,2e4c1cbfa6c0b287,0.8920504302639483,0.2043012207592773,0.272108843537415,0.0199270843936325,0.0096806523040965
F,GES,RF,6,6,2e4c1cbfa6c0b287,0.8736836962893806,0.2011911099393191,0.3410138248847926,0.0194592887894883,0.0055370422141459
F,GES,LightGBM,6,6,2e4c1cbfa6c0b287,0.8544665667904264,0.2053719282541537,0.3118279569892473,0.0206799115224627,0.0185848849874267
F,GES,Logit,6,6,2e4c1cbfa6c0b287,0.5600596362478378,0.0258854631092635,0.0439189189189189,0.0216867474976311,0.0012242586346245
F,GES,FFMLP,6,6,2e4c1cbfa6c0b287,0.5278169804083346,0.0253358651227193,0.0432166301969365,0.0216133274070605,0.0007663391278481
F,GES,XGBoost,7,7,858660aa06748f3c,0.9006122847775583,0.2303938360075185,0.2957746478873239,0.0194093648745688,0.0095671754135644
F,GES,RF,7,7,858660aa06748f3c,0.8745395198703056,0.2136433922807493,0.3131313131313131,0.0191886743080793,0.0047324573665082
F,GES,LightGBM,7,7,858660aa06748f3c,0.8662563055923458,0.2024226007895009,0.2672413793103448,0.0208028259561076,0.0182393948697633
F,GES,FFMLP,7,7,858660aa06748f3c,0.6805118295445498,0.0394955988934096,0.04632972322503,0.0216333064749469,0.0014858413774073
F,GES,Logit,7,7,858660aa06748f3c,0.5438116536755181,0.0238734286154795,0.0441176470588235,0.0219616378152159,0.0016268106037372
F,GES,XGBoost,8,8,ba0c7a252ab6e9d1,0.8948838757771168,0.225889950157313,0.3024390243902439,0.0195342462131967,0.0094115798188978
F,GES,RF,8,8,ba0c7a252ab6e9d1,0.8694480028370641,0.2028527594601619,0.3033175355450237,0.0193742823595191,0.0060967291025999
F,GES,LightGBM,8,8,ba0c7a252ab6e9d1,0.8627063566160772,0.2033101280891147,0.2803738317757009,0.0209962146534759,0.0188283606125678
F,GES,FFMLP,8,8,ba0c7a252ab6e9d1,0.7268855259063045,0.0514710941801626,0.044903988183161,0.0216186981468285,0.0019138936830285
F,GES,Logit,8,8,ba0c7a252ab6e9d1,0.5343197921416216,0.0229743683501015,0.0440802486578129,0.0220389695298941,0.0018041986601911
F,GES,XGBoost,9,9,be4561dddd0fd134,0.8932952645634756,0.2095216466343326,0.2955665024630542,0.0197905953519173,0.0102336261819018
F,GES,RF,9,9,be4561dddd0fd134,0.8815362847486085,0.209555523642626,0.3050847457627119,0.0195002985742242,0.00616941571149
F,GES,LightGBM,9,9,be4561dddd0fd134,0.8686989310347323,0.2069962559210156,0.3016759776536313,0.0209939096205746,0.0192346940979134
F,GES,FFMLP,9,9,be4561dddd0fd134,0.6563750714694112,0.0367120515686134,0.0462287104622871,0.0219229583392303,0.0029353904705791
F,GES,Logit,9,9,be4561dddd0fd134,0.5724247490428527,0.0267956543275837,0.0433048433048433,0.0222462195471874,0.0017371189529525
F,GES,XGBoost,10,10,9b1ea467e841a70f,0.8797775944300903,0.2484116282795572,0.2962962962962963,0.0199291093275969,0.0133450153225974
F,GES,RF,10,10,9b1ea467e841a70f,0.8710004270071144,0.2214097765777829,0.3163841807909605,0.0192906815767402,0.0081498462398658
