leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label,edge_GOLEM__leverage_ratio__asset_liabilities,edge_GOLEM__leverage_ratio__asset_turnover,edge_GOLEM__leverage_ratio__totaldebt_invcap,edge_GOLEM__roe__totaldebt_invcap,edge_GOLEM__debt_ratio__leverage_ratio,edge_GOLEM__debt_ratio__asset_liabilities,edge_GOLEM__debt_ratio__rect_turn,edge_GOLEM__debt_ratio2__roa,edge_GOLEM__debt_ratio2__capitalization_ratio,edge_GOLEM__debt_ratio2__totaldebt_invcap,edge_GOLEM__debt_ratio2__debt_ebitda,edge_GOLEM__debt_ratio2__rect_turn,edge_GOLEM__roa__roe,edge_GOLEM__roa__asset_turnover,edge_GOLEM__roa__debt_ratio,edge_GOLEM__roa__capitalization_ratio,edge_GOLEM__roa__totaldebt_invcap,edge_GOLEM__roa__rect_turn,edge_GOLEM__capitalization_ratio__debt_ratio,edge_GOLEM__capitalization_ratio__longtermdebt_invcap,edge_GOLEM__capitalization_ratio__totaldebt_invcap,edge_GOLEM__longtermdebt_invcap__totaldebt_invcap,edge_GOLEM__rect_turn__leverage_ratio,edge_GOLEM__rect_turn__asset_liabilities,edge_GOLEM__rect_turn__roe,edge_GOLEM__rect_turn__asset_turnover
-1.462368169,1.456450148,-0.101390906,-0.794634029,-2.010983124,1.501487272,0.058552273,1.044998569,0.839066457,-0.327837357,0.183623965,0.401281566,-0.19811421,0,-0.4772594345149633,0.22948052724231702,0.18105921228981178,0.0036128874587534115,2.3202307398570237,3.071533447034476,-0.11170920730038934,0.009995728651082102,1.0771554167897914,-0.389333348972639,0.1824757357810957,-0.04719138673382458,-0.003241439945238005,-0.021673609659300905,0.024760170695886013,-0.008528533031875802,0.0034106421856556638,-0.0028866286381794377,-0.23131797483927355,0.8133100989815105,0.28080908040972663,-0.10315845363654674,0.06708104831705072,-0.03476195285386291,-0.002644647334094803,0.03927311908493282
-0.612564317,0.131082836,0.185613595,-0.318078111,-0.275990255,0.479490444,0.263079172,-0.735104943,-0.680390956,0.769964509,0.239838205,0.016449011,-0.075611332,0,-0.01799283911241391,0.03847755192097995,-0.17812622470454678,0.015533791776853115,0.13338637420115979,0.03793942769570282,-0.005851208226077351,0.014342189834567542,-0.24197489960144922,0.2920062681688737,0.002388658180131844,-0.005751648040828899,0.02666192273597952,-0.03897988730216637,0.015267982845559644,0.026955704725674223,-0.03599076965359628,-0.004949996422319623,0.022332037603206054,0.46392949540669615,0.46393491910624834,-0.19646231761879565,0.010724228830493072,-0.0011940585780607154,0.0018477780640598056,0.0059997517451032285
-0.683140115,0.194286162,-0.192988088,-0.738568627,-0.367305669,-0.25050729,-0.418677158,0.132241411,0.059956916,-0.420693722,0.014981242,-0.030166959,-0.163727437,0,-0.02974088109498798,0.09963744875747904,0.1085378666400309,0.008824569430816095,0.19797185148464558,0.07483774609329209,-0.01686219128698601,0.011924733450604966,-0.022742010839352886,0.08335428114917082,0.0022886857236685877,0.006506797475823665,0.04411689999336226,0.14404243436964337,-0.03233764194626451,0.007717233182828442,-0.03129531009489297,0.01705816303026989,-0.005346632887460585,0.007354461348937948,0.045600595828013187,-0.009459220315678592,0.025897553598280384,-0.003832271309195057,-0.00416011276375998,0.030166500165561314
-1.405150566,1.119815244,-0.309011184,-0.934797534,-1.828352296,-0.387381865,-0.418677158,-0.444475798,-0.432316277,-0.712741967,0.127409724,-0.083404135,-0.170174957,0,-0.35259115288495185,0.2593954627526205,0.37823407819311267,0.023938862996107854,2.026976758555308,2.1471256272414347,-0.0872409624283723,0.0184402836489239,0.11820297927796128,0.21838013370722367,0.009785006692348374,0.010458283071126383,0.07063967337382225,0.1823127973727206,-0.16096838924552137,-0.025938345268334675,-0.053020712476686244,0.017729906565233582,0.08945266000583929,0.17823533843583986,-0.2596674190582709,0.11555372295178354,0.05536636364947064,-0.022958046965802788,-0.006923456749274551,0.03968494803270091
-1.542072067,1.938197224,-0.333437099,-0.093816503,-2.30775822,-0.85275542,-0.350501525,-0.989405444,-0.897456301,-1.009283263,-1.70892214,-0.286989519,-0.146534051,0,-0.6697377991871238,0.028569712211820614,0.5877913671233173,0.03657833896278755,2.8077665896083874,4.690719599462653,-0.09481865260030413,0.0339831352701712,0.5792150036144331,0.6807365517253665,0.07411818632188237,0.01982387277309578,0.06381151381284475,0.01531755617845673,-0.17009113051529254,-0.048336932759859425,-0.06285458218834765,0.01278085765002913,0.25133320064836173,0.8236291639405011,-0.818510733282479,0.3396850286945781,0.05232035898704863,-0.034216015853977495,-0.006432882380124649,0.003429496824147449
-1.109043906,0.706370214,-0.107497385,-0.542339719,-1.075000129,0.333490898,-0.145974626,-1.248247027,-1.118397813,0.352110866,-1.202993973,0.101521484,-0.099252238,0,-0.17554290884056026,0.1187796677519952,-0.1474801697144345,-0.0041140950101635305,0.9406396496732602,0.7963281953814014,-0.02991670380309907,-0.005534907920868499,-0.2857758627098586,0.09287630375006022,0.010253595989037141,-0.005251093493731079,0.008567823035953314,0.03687814879671675,-0.03299797862337697,-0.025397606647409993,0.009132522676274162,0.0036053647592515733,0.1477047005099191,1.294914097439996,0.36026077547327434,-0.14768138623924704,0.025486871935755762,-0.008446282465625928,-0.0014047251041021122,0.013428401824910336
-0.341392954,-0.027541391,-0.333437099,-0.710535925,-0.002044013,-0.889255307,-0.350501525,-0.998487605,-0.905208635,-0.76815625,-0.17239956,-0.310063421,-0.170174957,0,0.00210689356825038,0.04790298195099894,0.09903976095161551,0.02783943885620917,0.0005505594634253063,-5.9036516449956085e-05,-9.753134651687747e-05,0.03543769136934787,0.6095511608195496,0.5402783250286209,0.0835047651343982,0.024007535105205285,0.06381151381284475,0.11601022847759757,-0.00015065203925823502,-0.04878063741929247,-0.047838046977618336,0.014842842917219481,0.00022465267347700484,0.8383695103736698,-0.6286794408379012,0.26076438789952056,0.013451716062242259,0.0005646436333755947,-0.007470724210195825,0.030164372747470334
-0.414863028,0.044447098,0.497044012,-1.018895637,-0.070530573,-1.01700491,0.194903539,-0.762351425,-0.703647958,-0.98082728,0.239838205,-0.386374499,-0.217456769,1,-0.004131904893335211,0.08347499274787622,0.1536748262664512,-0.05298883514515109,0.023085972283076083,0.0032875473878445183,-0.004300463441475821,-0.02253677757932009,0.5322544303090145,0.7889638359886648,0.11900515199680987,0.03508499653314263,0.052894411310402685,-0.09250596902121735,0.002890670473233719,0.020710463689354613,0.03396614209078402,-0.01054688439734943,0.00591858498761587,0.49757065306435144,-0.6128931459903818,0.2588200947552321,0.020888398898257984,-0.001164418929108971,0.014230524684541066,0.055273280611832176
1.855362248,-0.624124402,-0.351756536,1.083556939,1.070912103,0.132741521,-1.168609122,-0.835008711,-0.765666628,2.447369816,0.146147804,1.356741745,0.094173358,0,-0.2594789019901966,0.39701087919103767,1.714880162400921,-0.09357046014937485,1.5676480525553838,0.7009324859250422,-0.028277876954732415,-0.01763701586587484,-0.07609196767960316,0.25694957265432167,0.054542901374817876,0.0019831716415913488,0.2244433099354088,-0.5898496675761902,0.2631628300255665,-0.13601135250054813,0.5081627563562643,-0.02738601606162115,-0.09843059098335796,0.5930275015556878,1.6750493913051097,-0.7027313713052898,0.04045612298105794,-0.007080959897282674,0.004361374382705651,0.025456131315721622
-0.205807273,-0.190822801,0.124548808,-0.990862936,0.134929108,-1.071754741,-0.214150259,-1.034816248,-0.93621797,-1.004790213,0.202362045,-0.385772571,-0.157279917,0,0.00880021246589469,0.04027135629003066,0.07809829917144834,-0.013602287865772314,-0.021909496258927574,0.027001451724441922,0.005950368166099057,0.026095346099898945,0.7613768563630166,0.8517503489731559,0.1252163434788565,0.026742015856250863,-0.014563085401941504,0.09884450181709306,0.006076111048744176,-0.03088849327549356,-0.038232083041219375,0.008381531955947954,-0.015369302130941436,0.8986370524653782,-0.8522669495689114,0.35277873026977835,0.007494824678720392,0.0036157338319374732,0.0025790869423006567,0.03887760144241782
-1.373981444,1.286655093,0.167294159,0.242575909,-1.737036882,-0.788880619,1.149362403,-0.735104943,-0.680390956,-0.941887514,0.071195483,-0.364771976,-0.127191491,0,-0.3961367953599805,-0.0658188802527556,0.48874842258953083,-0.017126822930856822,1.8830243333837429,2.3438098875727498,-0.061948674045747866,-0.10309018458426973,0.3981086817656247,0.5876947849957069,0.08714992368345097,0.015918230982773684,0.10498638494650142,0.12987482743826181,0.41982420650297925,0.11776634889994023,0.19234902405363324,-0.03637864970645714,0.14055414009809802,0.46392949540669615,-0.5675255190428204,0.24032978374155922,0.0404637766235595,-0.019715741576035548,0.0028015086794038204,-0.007696944130694853
-0.005656981,-0.223202023,-0.052539076,0.382739414,0.27190223,-0.615506157,0.058552273,0.35021327,0.246012926,-0.610899502,1.42033726,-0.273078297,-0.092804719,0,0.00028293392191544304,-0.0004275725956699869,0.0013051485723681536,0.003488584056278127,-0.0012135663185173756,0.06364467817908512,0.0070753470404312045,-0.004097558895885424,-0.14798102070600386,0.2974018620338854,0.050904226914023756,0.00906208056829797,-0.0016796601031683785,0.010439201390235917,-0.003347788227084127,-0.0028581909392033232,0.0063554673322882985,-0.0013522137539936955,0.010481673491556483,0.07991616480754772,0.17536357108902476,-0.05636087426016274,0.00012155764252924148,0.002495520270277819,-0.0006419565384974956,-0.008861063647666277
