DATASET_ID,DATASET_NAME,WEIGHT_SEED,MODEL_SEED,SET,DAG,MODEL,N_FEAT,THRESHOLD,TIME_SEC,AUROC,AUPRC,F1,Brier,ECE
16,ds_016,12361,42,OF,GES,LightGBM,47,0.01,10.925244092941284,0.9303254662700566,0.4680881244399133,0.4720496894409938,0.01686707932789923,0.017372632510149845
17,ds_017,12362,42,OF,GES,LightGBM,47,0.01,11.033124685287476,0.9312084301336749,0.4858978651281734,0.5095541401273885,0.016706004644726744,0.01668839488366578
18,ds_018,12363,42,OF,GES,LightGBM,47,0.01,10.988282680511475,0.9349935948932844,0.48630222319845384,0.5,0.016939592715652336,0.01656618033279496
19,ds_019,12364,42,OF,GES,LightGBM,47,0.06,10.97574520111084,0.932637818355516,0.490145061417298,0.5076923076923077,0.016777136502483254,0.01684361588518404
20,ds_020,12365,42,OF,GES,LightGBM,47,0.04,11.07850170135498,0.9338537030201706,0.4885485624727989,0.4888888888888889,0.016674916010886078,0.016697217483395494
21,ds_021,12366,42,OF,GES,LightGBM,47,0.05,11.086715698242188,0.9339116022899161,0.4958276745242387,0.5151515151515151,0.016695336830634667,0.016716242038913042
22,ds_022,12367,42,OF,GES,LightGBM,47,0.02,10.557429075241089,0.9343567029260844,0.489290011525737,0.4966442953020134,0.01643830368037848,0.01620574581576328
23,ds_023,12368,42,OF,GES,LightGBM,47,0.02,10.97118878364563,0.9357860911479253,0.4774717311846122,0.5100671140939598,0.0169279579769721,0.016752785306012156
24,ds_024,12369,42,OF,GES,LightGBM,47,0.03,8.285600423812866,0.9292905168233566,0.47411469187592853,0.4861111111111111,0.01654499888863857,0.01629452731722348
25,ds_025,12370,42,OF,GES,LightGBM,47,0.14,11.002177715301514,0.934856084127639,0.48675411297364524,0.4628099173553719,0.01685969005834028,0.017113314553329404
26,ds_026,12371,42,OF,GES,LightGBM,47,0.16,8.337374448776245,0.9326016313119251,0.4824284042659336,0.464,0.016868825828545996,0.017053332203894423
27,ds_027,12372,42,OF,GES,LightGBM,47,0.01,11.072392702102661,0.9359923572963936,0.47560872391694614,0.4713375796178344,0.01679645264648876,0.016597808149536673
28,ds_028,12373,42,OF,GES,LightGBM,47,0.04,8.246920347213745,0.9325871564944888,0.4746682937543123,0.4892086330935252,0.01673137771398496,0.016597365028331697
29,ds_029,12374,42,OF,GES,LightGBM,47,0.01,10.933324575424194,0.9317801854224114,0.48110539024883353,0.49032258064516127,0.01655992086982055,0.016425534866904512
30,ds_030,12375,42,OF,GES,LightGBM,47,0.05,8.5982186794281,0.9346642927966071,0.47994115231394346,0.5072463768115942,0.016604239658819128,0.016967186311762104
31,ds_031,12376,42,OF,GES,LightGBM,47,0.18,11.02637767791748,0.9292326175536111,0.46909263807977847,0.47058823529411764,0.016936074745458947,0.016983998341911978
32,ds_032,12377,42,OF,GES,LightGBM,47,0.13,9.333699941635132,0.9390067380275167,0.5000544016551739,0.48,0.016384880095065155,0.01598564711610591
33,ds_033,12378,42,OF,GES,LightGBM,47,0.01,11.033219337463379,0.9350876812066208,0.4784370557055915,0.484472049689441,0.016925302680030223,0.016292841054933817
34,ds_034,12379,42,OF,GES,LightGBM,47,0.07,10.712115049362183,0.9319466458229296,0.4752088281418843,0.5074626865671642,0.016819313213941044,0.01680098613944485
35,ds_035,12380,42,OF,GES,LightGBM,47,0.01,10.820714235305786,0.9316643868829205,0.4753388364797368,0.4935064935064935,0.016618155669256184,0.015947900673531714
36,ds_036,12381,42,OF,GES,LightGBM,47,0.05,10.880085945129395,0.9323881277547387,0.4923081604165098,0.4925373134328358,0.016385322066103682,0.01599043207987354
37,ds_037,12382,42,OF,GES,LightGBM,47,0.04,10.785735368728638,0.9359959760007527,0.49114972593621076,0.5037037037037037,0.016521590407981474,0.016467622458999038
38,ds_038,12383,42,OF,GES,LightGBM,47,0.01,10.845158576965332,0.9312229049511114,0.48278827428321175,0.4810126582278481,0.01672756013946149,0.016454561151374517
39,ds_039,12384,42,OF,GES,LightGBM,47,0.01,8.289964437484741,0.9363361342105073,0.47899274754784404,0.49056603773584906,0.016705743529318768,0.01645072936379493
40,ds_040,12385,42,OF,GES,LightGBM,47,0.01,10.791871786117554,0.9341685302994115,0.49329477240599284,0.49673202614379086,0.01643573166376904,0.0170979592272361
41,ds_041,12386,42,OF,GES,LightGBM,47,0.02,8.273459434509277,0.932558206859616,0.4868719238664979,0.5205479452054794,0.016561976143659465,0.01651240563866654
42,ds_042,12387,42,OF,GES,LightGBM,47,0.01,10.88842511177063,0.9350876812066208,0.48524172065253457,0.49056603773584906,0.01667065731637988,0.016293395606509
43,ds_043,12388,42,OF,GES,LightGBM,47,0.12,10.823962211608887,0.9296270563287521,0.488727504513078,0.45528455284552843,0.01656951047548902,0.01661958298105109
44,ds_044,12389,42,OF,GES,LightGBM,47,0.03,10.848292350769043,0.9349646452584117,0.4798459142266532,0.5,0.017021812443971406,0.017511323069943917
45,ds_045,12390,42,OF,GES,LightGBM,47,0.12,10.84714412689209,0.9336438181673434,0.4896689847154491,0.47619047619047616,0.016698227868008175,0.017007913060339375
46,ds_046,12391,42,OF,GES,LightGBM,47,0.02,10.822256326675415,0.9343530842217252,0.48088091056900256,0.5034013605442177,0.016782724532335893,0.01645017895295855
47,ds_047,12392,42,OF,GES,LightGBM,47,0.01,10.784263134002686,0.932681242807825,0.47992743041066177,0.49032258064516127,0.016872197659323775,0.017137978781110896
48,ds_048,12393,42,OF,GES,LightGBM,47,0.07,8.378931283950806,0.9325943939032069,0.49066566377837434,0.5303030303030303,0.01661234261562554,0.01667847708043255
49,ds_049,12394,42,OF,GES,LightGBM,47,0.01,10.76746654510498,0.9332349045747661,0.491169201463859,0.4875,0.01646621291670443,0.016340853266414324
50,ds_050,12395,42,OF,GES,LightGBM,47,0.01,8.340081691741943,0.9304485022182658,0.4785851582490629,0.4810126582278481,0.01657295262863943,0.016606638064680608
51,ds_051,12396,42,OF,GES,LightGBM,47,0.01,10.865602493286133,0.9370164506300165,0.47972578858528386,0.484472049689441,0.016809650544445623,0.016912143157734857
52,ds_052,12397,42,OF,GES,LightGBM,47,0.2,10.855418682098389,0.9340708252817161,0.48381129745956997,0.4462809917355372,0.01676121589094759,0.016644173955597176
53,ds_053,12398,42,OF,GES,LightGBM,47,0.01,10.811207294464111,0.9340853000991525,0.4805687890196717,0.4785276073619632,0.01650696103342115,0.01657840709586711
54,ds_054,12399,42,OF,GES,LightGBM,47,0.01,10.837023973464966,0.9301626245738975,0.47899832193000896,0.4968152866242038,0.01656330838529449,0.016759190048812628
55,ds_055,12400,42,OF,GES,LightGBM,47,0.01,10.710745096206665,0.9321420558583206,0.49106557802234135,0.4968944099378882,0.016537948287364636,0.01699995279876091
56,ds_056,12401,42,OF,GES,LightGBM,47,0.01,10.841389179229736,0.9330394945393752,0.4731277188375535,0.484472049689441,0.016952683004960674,0.01680669002821288
57,ds_057,12402,42,OF,GES,LightGBM,47,0.02,8.317023038864136,0.9344435518307026,0.47907323285240894,0.5068493150684932,0.016531907306823,0.015987288992215153
