GROUP,FEATURE_TYPE,FEATURE_NAME,ALG,U,V,U_COL,V_COL,WEIGHT,EXPR
GES,edge,edge_GES__longtermdebt_invcap__totaldebt_invcap,GES,longtermdebt_invcap,totaldebt_invcap,longtermdebt_invcap,totaldebt_invcap,-0.15657878391373622,-0.15657878391373622 * longtermdebt_invcap * totaldebt_invcap
GES,edge,edge_GES__totaldebt_invcap__leverage_ratio,GES,totaldebt_invcap,leverage_ratio,totaldebt_invcap,leverage_ratio,0.20387562930586445,0.20387562930586445 * totaldebt_invcap * leverage_ratio
GES,edge,edge_GES__totaldebt_invcap__asset_turnover,GES,totaldebt_invcap,asset_turnover,totaldebt_invcap,asset_turnover,0.27984165623655377,0.27984165623655377 * totaldebt_invcap * asset_turnover
GES,edge,edge_GES__totaldebt_invcap__capitalization_ratio,GES,totaldebt_invcap,capitalization_ratio,totaldebt_invcap,capitalization_ratio,-0.2808023748951546,-0.2808023748951546 * totaldebt_invcap * capitalization_ratio
GES,edge,edge_GES__cash_debt__asset_liabilities,GES,cash_debt,asset_liabilities,cash_debt,asset_liabilities,0.04551582288195079,0.04551582288195079 * cash_debt * asset_liabilities
GES,edge,edge_GES__cash_debt__debt_ratio,GES,cash_debt,debt_ratio,cash_debt,debt_ratio,-0.10398986972471592,-0.10398986972471592 * cash_debt * debt_ratio
GES,edge,edge_GES__cash_debt__debt_ratio2,GES,cash_debt,debt_ratio2,cash_debt,debt_ratio2,-0.11289016736489829,-0.11289016736489829 * cash_debt * debt_ratio2
GES,edge,edge_GES__cash_debt__longtermdebt_invcap,GES,cash_debt,longtermdebt_invcap,cash_debt,longtermdebt_invcap,0.02539519077459906,0.02539519077459906 * cash_debt * longtermdebt_invcap
GES,edge,edge_GES__cash_debt__totaldebt_invcap,GES,cash_debt,totaldebt_invcap,cash_debt,totaldebt_invcap,-0.06244634571041557,-0.06244634571041557 * cash_debt * totaldebt_invcap
GES,edge,edge_GES__cash_debt__rect_turn,GES,cash_debt,rect_turn,cash_debt,rect_turn,0.019677108090412596,0.019677108090412596 * cash_debt * rect_turn
GES,edge,edge_GES__debt_ebitda__roe,GES,debt_ebitda,roe,debt_ebitda,roe,0.021584136448439824,0.021584136448439824 * debt_ebitda * roe
GES,edge,edge_GES__debt_ebitda__debt_ratio2,GES,debt_ebitda,debt_ratio2,debt_ebitda,debt_ratio2,0.3200446662739366,0.3200446662739366 * debt_ebitda * debt_ratio2
GES,edge,edge_GES__debt_ebitda__roa,GES,debt_ebitda,roa,debt_ebitda,roa,-0.12388673910853422,-0.12388673910853422 * debt_ebitda * roa
GOLEM,edge,edge_GOLEM__leverage_ratio__asset_liabilities,GOLEM,leverage_ratio,asset_liabilities,leverage_ratio,asset_liabilities,0.22412717299418278,0.22412717299418278 * leverage_ratio * asset_liabilities
GOLEM,edge,edge_GOLEM__leverage_ratio__asset_turnover,GOLEM,leverage_ratio,asset_turnover,leverage_ratio,asset_turnover,0.19726387579301244,0.19726387579301244 * leverage_ratio * asset_turnover
GOLEM,edge,edge_GOLEM__leverage_ratio__totaldebt_invcap,GOLEM,leverage_ratio,totaldebt_invcap,leverage_ratio,totaldebt_invcap,0.37734410162221305,0.37734410162221305 * leverage_ratio * totaldebt_invcap
GOLEM,edge,edge_GOLEM__roe__totaldebt_invcap,GOLEM,roe,totaldebt_invcap,roe,totaldebt_invcap,0.10856125903967648,0.10856125903967648 * roe * totaldebt_invcap
GOLEM,edge,edge_GOLEM__debt_ratio__leverage_ratio,GOLEM,debt_ratio,leverage_ratio,debt_ratio,leverage_ratio,0.788978257551765,0.788978257551765 * debt_ratio * leverage_ratio
GOLEM,edge,edge_GOLEM__debt_ratio__asset_liabilities,GOLEM,debt_ratio,asset_liabilities,debt_ratio,asset_liabilities,-1.0487020316640285,-1.0487020316640285 * debt_ratio * asset_liabilities
GOLEM,edge,edge_GOLEM__debt_ratio__rect_turn,GOLEM,debt_ratio,rect_turn,debt_ratio,rect_turn,-0.2803237237247274,-0.2803237237247274 * debt_ratio * rect_turn
GOLEM,edge,edge_GOLEM__debt_ratio2__roa,GOLEM,debt_ratio2,roa,debt_ratio2,roa,0.11341564801788015,0.11341564801788015 * debt_ratio2 * roa
GOLEM,edge,edge_GOLEM__debt_ratio2__capitalization_ratio,GOLEM,debt_ratio2,capitalization_ratio,debt_ratio2,capitalization_ratio,0.6864985459790469,0.6864985459790469 * debt_ratio2 * capitalization_ratio
GOLEM,edge,edge_GOLEM__debt_ratio2__totaldebt_invcap,GOLEM,debt_ratio2,totaldebt_invcap,debt_ratio2,totaldebt_invcap,0.7916437955527503,0.7916437955527503 * debt_ratio2 * totaldebt_invcap
GOLEM,edge,edge_GOLEM__debt_ratio2__debt_ebitda,GOLEM,debt_ratio2,debt_ebitda,debt_ratio2,debt_ebitda,0.3006395021434944,0.3006395021434944 * debt_ratio2 * debt_ebitda
GOLEM,edge,edge_GOLEM__debt_ratio2__rect_turn,GOLEM,debt_ratio2,rect_turn,debt_ratio2,rect_turn,0.15879669127174512,0.15879669127174512 * debt_ratio2 * rect_turn
GOLEM,edge,edge_GOLEM__roa__roe,GOLEM,roa,roe,roa,roe,0.5449864671267228,0.5449864671267228 * roa * roe
GOLEM,edge,edge_GOLEM__roa__asset_turnover,GOLEM,roa,asset_turnover,roa,asset_turnover,0.4664253965184754,0.4664253965184754 * roa * asset_turnover
GOLEM,edge,edge_GOLEM__roa__debt_ratio,GOLEM,roa,debt_ratio,roa,debt_ratio,-0.20975395567488458,-0.20975395567488458 * roa * debt_ratio
