leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
12.971,1.081064793,0.16,0.091,0.928,0.326,0.027,0.514,0.51,2.206,-0.049,12.268,0.168,0
14.093,1.07080797,0.168,0.097,0.933,0.366,0.027,0.54,0.537,2.532,-0.038,14.171,0.173,0
12.021,1.076530361,0.157,0.094,0.923,0.356,0.026,0.518,0.518,2.235,-0.068,13.68,0.167,0
13.096,1.0798613,0.158,0.079,0.929,0.377,0.026,0.662,0.662,1.795,0.063,15.077,0.144,0
12.074,1.077189484,0.181,0.077,0.923,0.394,0.029,0.661,0.661,1.748,-0.002,13.914,0.136,0
12.65,1.081784626,0.178,0.069,0.927,0.423,0.027,0.722,0.722,1.603,-0.016,16.592,0.114,0
13.43,1.07518062,0.183,0.072,0.931,0.433,0.025,0.745,0.745,1.596,0.003,17.473,0.116,0
12.718,1.076356724,0.133,0.079,0.927,0.428,0.023,0.723,0.723,1.625,0.024,18.813,0.124,0
11.71,1.082688915,0.118,0.076,0.921,0.368,0.022,0.767,0.767,1.091,0.019,16.605,0.113,0
11.225,1.087730581,-0.061,0.078,0.918,0.24,0.014,0.686,0.686,0.923,0.017,16.008,0.122,0
11.35,1.091774185,-0.533,0.076,0.919,0.163,-0.006,0.623,0.623,0.761,0.035,-24.964,0.118,0
10.919,1.078851351,0.054,0.068,0.916,0.188,0.005,0.675,0.675,0.728,0.02,39.789,0.11,0
8.925,1.10882779,-0.02,0.065,0.899,0.163,0.016,0.565,0.565,0.702,0.005,10.237,0.102,0
8.233,1.11722377,0.042,0.062,0.892,0.12,0.021,0.463,0.463,0.593,0.02,5.661,0.096,0
7.769,1.126861504,0.122,0.057,0.886,0.125,0.015,0.369,0.369,0.691,0.016,8.211,0.086,0
6.985,1.148640003,-0.015,0.058,0.875,0.106,0.015,0.352,0.352,0.549,0.026,7.067,0.091,0
6.563,1.148022327,0.18,0.059,0.868,0.083,0.029,0.272,0.272,0.456,0.03,2.845,0.093,0
6.043,1.166491294,0.07,0.055,0.858,0.064,0.028,0.221,0.221,0.354,0.022,2.32,0.091,0
6.769,1.155331432,0.039,0.05,0.871,0.05,0.022,0.225,0.225,0.302,0.018,2.348,0.088,0
7.96,1.130289963,0.08,0.051,0.888,0.044,0.027,0.229,0.229,0.3,0.016,1.674,0.097,0
7.86,1.128885911,0.113,0.056,0.887,0.032,0.031,0.185,0.185,0.232,0.02,1.062,0.107,0
8.995,1.130519933,0.086,0.045,0.9,0.026,0.023,0.181,0.181,0.215,0.015,1.192,0.096,0
10.787,1.100650375,0.154,0.039,0.915,0.021,0.028,0.186,0.186,0.201,0.011,0.783,0.096,1
17.394,1.057491411,0.094,0.09,0.946,0.168,0.016,0.24,0.24,2.355,0.013,11.517,0.167,0
16.462,1.060745895,0.112,0.104,0.943,0.176,0.019,0.226,0.226,2.38,-0.033,9.337,0.187,0
18.196,1.054956067,0.143,0.121,0.948,0.169,0.02,0.164,0.164,2.711,0.027,9.198,0.216,0
15.442,1.060393552,0.166,0.108,0.939,0.174,0.024,0.141,0.141,2.454,-0.044,7.323,0.165,0
15.835,1.062099953,0.165,0.099,0.941,0.148,0.019,0.221,0.221,1.948,-0.043,9.065,0.146,0
16.873,1.057013368,0.072,0.109,0.944,0.165,0.014,0.326,0.326,1.992,0.015,11.677,0.165,0
29.137,1.056293966,-1.2,0.099,0.967,0.181,-0.019,0.465,0.465,2.918,-0.008,-9.105,0.146,0
101.369,1.060112244,-1.838,0.095,0.946,0.138,0.001,0.77,0.367,1.627,-0.059,121.881,0.141,0
17.55,1.067083783,0.187,0.071,0.937,0.031,0.023,0.275,0.274,0.423,0.004,1.443,0.111,0
17.559,1.067117296,0.178,0.081,0.937,0.049,0.023,0.247,0.245,0.676,0.051,1.697,0.123,0
15.712,1.069219369,0.183,0.083,0.938,0.059,0.025,0.229,0.228,0.76,-0.039,2.407,0.128,0
15.544,1.06523843,0.152,0.077,0.939,0.043,0.021,0.276,0.274,0.517,0.064,2.138,0.129,0
