,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
34,21.176,1.0491532110295925,0.10400000000000001,0.099,0.955,0.2,0.026000000000000002,0.6970000000000001,0.6970000000000001,1.341,-0.076,7.794,0.14300000000000002,0
35,21.691,1.0469113296361214,0.135,0.105,0.956,0.18100000000000002,0.027999999999999997,0.738,0.738,1.079,0.064,6.754,0.13699999999999998,0
36,19.252,1.0479382044547678,0.079,0.095,0.951,0.138,0.024,0.703,0.703,0.83,0.057,5.8229999999999995,0.12,0
37,16.397000000000002,1.0596009445589354,0.077,0.081,0.943,0.078,0.026000000000000002,0.457,0.457,0.741,-0.013999999999999999,3.015,0.099,0
38,16.512999999999998,1.0604826119446287,-0.062,0.064,0.943,0.129,0.017,0.5579999999999999,0.5579999999999999,0.995,-0.013000000000000001,7.867999999999999,0.08,0
39,16.485,1.0615372428965542,0.084,0.062,0.943,0.18,0.027000000000000003,0.611,0.611,1.226,-0.023,6.922999999999999,0.09,0
40,16.798,1.0584030116921428,0.146,0.083,0.9440000000000001,0.17,0.035,0.685,0.685,0.955,0.024,4.795,0.132,0
41,16.799,1.0643927786789624,0.039,0.075,0.9440000000000001,0.237,0.026000000000000002,0.768,0.768,0.978,-0.026000000000000002,9.054,0.121,0
42,18.927,1.05125450293876,0.166,0.079,0.95,0.23,0.023,0.775,0.775,1.031,0.043,9.611,0.122,0
43,16.462,1.054094884527576,0.17,0.076,0.943,0.217,0.022000000000000002,0.738,0.738,0.9940000000000001,-0.006,9.933,0.11699999999999999,0
45,14.177999999999999,1.0705296540397669,0.213,0.081,0.934,0.049,0.027999999999999997,0.175,0.17800000000000002,0.618,0.032,1.935,0.135,0
46,13.819,1.072366278471549,0.191,0.07400000000000001,0.9329999999999999,0.039,0.026000000000000002,0.179,0.188,0.502,0.037000000000000005,1.6030000000000002,0.12300000000000001,0
47,14.089,1.0709753995280553,0.19899999999999998,0.078,0.934,0.034,0.027999999999999997,0.145,0.152,0.461,0.043,1.3519999999999999,0.129,0
48,13.95,1.0702114241095562,0.22699999999999998,0.095,0.9329999999999999,0.054000000000000006,0.031,0.26899999999999996,0.36,0.7909999999999999,0.05,1.831,0.154,0
49,14.780999999999999,1.0657060575799666,0.242,0.11199999999999999,0.937,0.061,0.032,0.289,0.382,0.91,0.037000000000000005,2.094,0.18899999999999997,0
