leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
1.278288215,-0.627906631,0.264997819,0.915360733,0.911110128,1.008738802,-0.350501525,-1.270952428,-1.137778647,4.647466597,0.820718693,0.454318099,0.111366744,0
1.10774859,-0.544022692,0.075696978,1.251753145,0.842623568,0.698489765,-0.623204058,-1.566122654,-1.389729494,3.972011424,0.445957088,0.552566105,0.175841943,0
1.084594384,-0.578091436,0.051271063,1.279785846,0.842623568,0.598115076,-0.555028425,-1.666026422,-1.475005165,3.774317228,0.839456773,0.454986908,0.162946903,0
1.087933933,-0.550326786,0.191720074,0.719131826,0.842623568,0.579865133,-0.350501525,-1.63877994,-1.451748164,3.700930745,1.251694538,0.332728669,0.092024184,0
1.014241223,-0.583451721,0.264997819,0.971426135,0.819794714,0.287866039,-0.214150259,-1.593369136,-1.412986495,2.79782771,-0.266089961,0.11957932,0.094173358,0
0.764888246,-0.542261443,0.246678383,0.775197228,0.705650447,0.077991691,-0.282325892,-1.575204814,-1.397481828,1.986083356,-0.734541967,0.058851486,0.031847332,0
0.901809747,-0.540077301,0.576428236,0.663066424,0.774137007,0.625489991,-0.00962336,-0.825926551,-0.757914294,2.685501462,0.296052446,0.166395933,0.016803119,0
3.076301291,-0.776245809,-1.078427508,2.401093887,1.299200639,1.118238462,-1.986716719,1.549058492,1.26932098,1.54426678,-0.528423085,-3.126952112,0.741074518,0
5.961894093,-0.988055448,-2.763815646,0.27060861,1.595975735,0.753239595,-2.532121784,1.444613643,1.180169142,2.592645097,0.352266687,-1.451385552,0.29834482,0
2.993925753,-0.817328653,0.374914437,2.260930382,1.299200639,0.753239595,-0.214150259,1.40374392,1.14528364,1.334591117,2.638312476,0.26939248,0.844234836,0
0.926745044,-0.561868189,0.234465425,-0.065783802,0.180586815,0.169241407,-0.89590659,1.440072563,3.908990619,1.237241702,-1.109303572,0.567814944,0.13500765,0
0.8735349,-0.456108353,0.289423734,-0.346110812,1.093740957,0.944864,-0.555028425,1.085868293,1.311958815,1.271688418,0.277314366,0.475452456,-0.03477704,0
0.8644068,-0.535357078,0.11233585,-0.318078111,0.751308154,1.036113717,-0.555028425,1.258429347,1.0212463,0.769964509,-2.046207584,0.680776742,-0.079909679,0
-0.178200336,-0.215920261,0.319956128,-0.177914606,0.157757962,-0.542506383,1.558416201,-1.307281072,-1.168787982,-0.106180227,1.139266057,-0.343035692,-0.017583653,0
-0.116307365,-0.172900594,0.381020916,-0.205947307,0.203415669,-0.560756327,0.263079172,-1.352691875,-1.207549651,-0.083714977,-0.490946924,-0.256893125,-0.043373733,0
0.20562514,-0.267885313,0.326062607,-0.037751101,0.431704204,-0.186632488,-0.00962336,-1.398102679,-1.24631132,0.816392692,-1.465327097,-0.094640122,-0.062716292,0
0.597910806,-0.432749405,0.362701479,0.410772115,0.637163886,-0.277882205,-0.282325892,-1.434431322,-1.277320655,0.92422589,0.014981242,-0.069292271,-0.000390267,0
0.720138292,-0.460804189,0.399340352,0.859295331,0.682821593,-0.36000695,-0.418677158,-1.470759965,-1.30832999,0.832867208,0.914409094,-0.06768713,0.072681625,0
0.835018771,-0.520053473,0.399340352,1.447982052,0.7284793,-0.287007176,-0.486852791,-1.507088609,-1.339339325,1.081482637,0.970623335,-0.008898841,0.175841943,0
0.881104544,-0.529489806,0.350488522,1.279785846,0.751308154,-0.186632488,-0.418677158,-1.534335091,-1.362596326,1.390005399,0.689552131,0.007687616,0.14790269,0
0.894685376,-0.532199201,0.350488522,0.55093562,0.774137007,0.014116889,-0.486852791,-1.561581573,-1.385853327,1.923180657,-0.228613801,0.138239084,0.057637412,0
0.867746349,-0.516383523,0.106229371,0.719131826,0.751308154,0.169241407,-0.964082223,-1.584286975,-1.405234161,2.317071368,-0.697065807,0.759495532,0.083427491,0
1.058100631,-0.596148055,-0.351756536,0.635033723,0.819794714,0.324365926,-1.304960388,-1.593369136,-1.412986495,2.926628475,0.57712365,2.579190378,0.083427491,0
-0.376124262,-0.013248144,0.191720074,0.747164527,-0.024872866,0.315240954,0.126727906,-1.670567503,-1.478881332,1.34058185,-0.678327727,0.039121628,0.023250639,0
-0.264138059,-0.089952577,0.167294159,0.578968321,0.066442548,0.689364793,0.126727906,-1.389020519,-1.238558986,1.912696874,-1.277946294,0.134159351,-0.013285307,0
0.260171103,-0.344617956,-0.52884442,0.298641311,0.454533058,0.096241634,-0.827730957,-0.775974666,-0.715276458,1.018579938,0.689552131,0.46662418,-0.054119599,0
0.414903531,-0.387843886,0.185613595,0.663066424,0.545848472,0.169241407,0.126727906,-0.735104943,-0.680390956,1.252218535,-0.903184689,-0.032173385,-0.021882,0
0.605703086,-0.454099252,0.435979224,0.971426135,0.637163886,-0.031507969,0.399430439,-0.630660094,-0.591239118,0.952681873,1.139266057,-0.140587283,-0.004688614,0
0.767782521,-0.494077513,-0.461673153,1.083556939,0.705650447,-0.177507516,-0.418677158,-0.426311476,-0.416811609,0.665126677,-0.059971079,0.020796268,0.006057253,0
