SET,DAG,MODEL,K_EDGE,N_EDGE,N_FEAT,FEATURE_KEY,SEED,AUROC,AUPRC,F1,Brier,ECE,THR,TIME_SEC
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,51,0.9390899682277757,0.4735773631256339,0.4433497536945813,0.015903144334804508,0.01211871923555937,0.09,2.3144237995147705
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,52,0.9403927017970486,0.47048759540147334,0.44025157232704404,0.016041397695631215,0.01216095281379005,0.17,2.3571324348449707
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,53,0.9422889028812125,0.47566296002297054,0.44086021505376344,0.015844091661659662,0.010485899820559296,0.11,0.881903886795044
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,54,0.9435880177461262,0.46717906863952885,0.42990654205607476,0.016181933380021645,0.012655454214952877,0.07,0.8702726364135742
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,55,0.9391985293585484,0.4713770873386017,0.43243243243243246,0.015804410931625736,0.011831080868682956,0.2,0.8606135845184326
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,56,0.9425675431168623,0.48096860173938744,0.4342857142857143,0.015697447066907334,0.011467181038744655,0.12,0.8889803886413574
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,57,0.940566399606285,0.48352964467726084,0.43529411764705883,0.015806226097310087,0.011040001568015533,0.13,0.8796548843383789
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,58,0.9461536791367219,0.48433274194975445,0.43529411764705883,0.01555896522226315,0.011607525175487318,0.14,0.8839678764343262
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,59,0.9440186435648581,0.47803864833218296,0.41237113402061853,0.01580593838500829,0.011050585416781689,0.09,0.909003734588623
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,60,0.9458316144487627,0.4802071794396813,0.43820224719101125,0.01584770955032915,0.010443359824834271,0.12,0.9225552082061768
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,61,0.9420500683935124,0.4800735028936927,0.47953216374269003,0.015708540135029998,0.01040595317720796,0.13,0.86812424659729
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,62,0.9425530682994262,0.4916000196314662,0.43820224719101125,0.015501552799172164,0.009403656576081868,0.11,0.8592650890350342
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,63,0.9416881979576032,0.48459109601806133,0.441025641025641,0.015673377099034422,0.01179582237372493,0.1,1.0368611812591553
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,64,0.9426073488648125,0.4788751689465673,0.46987951807228917,0.015689658346467787,0.011277191979466392,0.17,3.6504645347595215
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,65,0.9431320609968806,0.47708011555514385,0.45751633986928103,0.015795209537751053,0.010681078860784603,0.21,0.8516340255737305
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,66,0.9397232414906167,0.47102282376199445,0.46153846153846156,0.015965897962722093,0.011192963294047517,0.34,0.8534440994262695
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,67,0.941840183540685,0.4714831297315608,0.44285714285714284,0.016103824712901827,0.011962921310868142,0.24,0.9205825328826904
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,68,0.9429945502312352,0.47733437609131296,0.463768115942029,0.0158831547938444,0.011761205107442822,0.27,0.8821268081665039
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,69,0.9409029391116804,0.4763427572033152,0.4245810055865922,0.015831602945283428,0.01114893288773125,0.12,0.8861198425292969
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,70,0.9429366509614898,0.4794471650072372,0.445859872611465,0.01574053746556522,0.010282959775498774,0.19,0.8822183609008789
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,71,0.9447061973930854,0.4757351399077826,0.418848167539267,0.01598380321403677,0.011806071183946517,0.09,0.8876204490661621
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,42,0.9342517604996706,0.48908666308315824,0.4625,0.016759566498078193,0.01674904968002339,0.01,3.914752244949341
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,43,0.9282808983071701,0.48716722179116534,0.4925373134328358,0.016455897599054966,0.016206361891623004,0.07,6.553882360458374
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,44,0.9306728618885294,0.49622184567353,0.4925373134328358,0.016243584928179393,0.015878552623156107,0.05,3.854714870452881
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,45,0.9337849476373479,0.4898394780507196,0.46875,0.016713502804754123,0.016259641864072107,0.12,7.081835746765137
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,46,0.9341178684383843,0.4947403253588105,0.484375,0.016618451782654645,0.016777442171577957,0.12,3.8407862186431885
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,47,0.9303254662700566,0.4885653056976223,0.48148148148148145,0.01658576117982337,0.016450048814707633,0.01,3.801764488220215
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,48,0.931212048838034,0.49457663139120595,0.49624060150375937,0.016207244353259154,0.01565437608713471,0.06,7.016845941543579
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,49,0.9310311136200795,0.486553572566323,0.47692307692307695,0.016535736343290988,0.01603377079087057,0.12,3.8303494453430176
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,50,0.932598012607566,0.48960315133014604,0.47244094488188976,0.016441457577559212,0.01613959021829269,0.15,3.806673288345337
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,51,0.930097487895434,0.49045562178819135,0.4720496894409938,0.016494108814122315,0.016636724307441317,0.01,6.997258186340332
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,52,0.9346063935268616,0.4866726720688475,0.4566929133858268,0.0166893681540474,0.016360361445079737,0.15,3.8044652938842773
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,53,0.9323085162588387,0.4900289041783986,0.47619047619047616,0.01643495874773073,0.0157788817307155,0.13,3.766333818435669
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,54,0.931212048838034,0.48911827865115565,0.49635036496350365,0.016330308605296655,0.015912309159244926,0.04,7.037420988082886
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,55,0.9338464656114525,0.4923292893619063,0.475,0.016419871259709895,0.016556528170944582,0.01,3.8139495849609375
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,56,0.9301626245738976,0.49543015119904815,0.48854961832061067,0.016273432648556765,0.016481716733954526,0.06,7.04950213432312
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,57,0.9303471784962112,0.49087929621204024,0.48120300751879697,0.016379904295459297,0.016591030948559838,0.08,3.822450637817383
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,58,0.9307597107931477,0.49145528390740756,0.47244094488188976,0.016509109156370043,0.015832671507921767,0.17,3.839836359024048
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,59,0.9327717104168024,0.492220786793513,0.453125,0.016526738273038584,0.016310860175932466,0.13,7.029767274856567
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,60,0.9308718906282796,0.4925129258106903,0.464,0.01656442561213928,0.01712488693558118,0.2,3.8387160301208496
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,61,0.9321601493801159,0.48053974707671604,0.47619047619047616,0.016776400626335314,0.01674586238502101,0.12,3.821963310241699
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,62,0.9312663294034205,0.489975837720741,0.4806201550387597,0.01650853718594038,0.01646552617707568,0.13,7.036504507064819
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,63,0.9338971274724798,0.48867693673320073,0.5179856115107914,0.01662982938343806,0.01740438146939205,0.04,3.801095485687256
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,64,0.9351817675199572,0.48871683863212206,0.46511627906976744,0.016687056588268592,0.01632472380494422,0.1,3.780653715133667
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,65,0.9329345521129615,0.484212099844425,0.46875,0.016666553849016642,0.01652315820392595,0.13,9.751344203948975
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,66,0.9306728618885294,0.4808941983809174,0.48175182481751827,0.016707489462794625,0.016552268217238722,0.03,3.825529098510742
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,67,0.9278177041492064,0.4782807025341766,0.49624060150375937,0.01650855447447243,0.016645267154157563,0.08,7.106945753097534
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,68,0.9325075449985887,0.4970214725460485,0.4732824427480916,0.016339250146590864,0.015922891495058294,0.07,3.822056770324707
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,69,0.9306402935492977,0.48469281466148756,0.5072463768115942,0.016706975762447587,0.016159740237281915,0.05,7.044353723526001
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,70,0.9315703005695841,0.4889798763240447,0.3888888888888889,0.016638647126911932,0.01654783279351727,0.68,3.875305652618408
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,71,0.9300938691910748,0.49428400586896115,0.47058823529411764,0.016529568068690107,0.015732075206890305,0.25,3.7936325073242188
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,42,0.9447532405497536,0.4794381061095896,0.4358974358974359,0.01575131439597718,0.01086528121057907,0.19,0.8965206146240234
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,43,0.9462550028587764,0.46958114180626903,0.4473684210526316,0.01590706654481274,0.01188204032940458,0.19,0.8933117389678955
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,44,0.9428389459437942,0.4803391200656522,0.4318181818181818,0.0159454229222141,0.01330072121172133,0.13,3.9392592906951904
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,45,0.9427267661086625,0.48346429339179176,0.4413793103448276,0.01574227291468941,0.011220935896806563,0.24,0.8443670272827148
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,46,0.9415796368268305,0.45331757546473017,0.44025157232704404,0.016244983129682946,0.012737199301689008,0.18,0.8879473209381104
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,47,0.9444601254966671,0.4774739104430324,0.4659090909090909,0.01582146689742285,0.010972149637838899,0.12,0.8921692371368408
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,48,0.9372987095700255,0.46616088954067386,0.43356643356643354,0.016053799572931057,0.01192618917993033,0.23,0.8797540664672852
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,49,0.9404433636580759,0.4709697097481257,0.45588235294117646,0.015861094828206787,0.010925304604619263,0.26,0.8646280765533447
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,50,0.935058731571748,0.4730874638192787,0.4444444444444444,0.01582986563167387,0.011643570716065053,0.21,0.8540749549865723
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,51,0.9358620839394662,0.4656352590315105,0.41711229946524064,0.016108501470196695,0.011331988665722322,0.11,0.847074031829834
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,52,0.941004262833735,0.4625145009952657,0.42857142857142855,0.016142239501834917,0.011337466525454943,0.28,0.867121696472168
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,53,0.9396761983339486,0.4574598186398143,0.4266666666666667,0.016316246444502882,0.01243464092715954,0.21,0.8834400177001953
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,54,0.9371865297348938,0.47123066188515456,0.4370860927152318,0.015945987897229494,0.011389952293564095,0.21,0.8819468021392822
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,55,0.9412720469563077,0.47731853517600803,0.44755244755244755,0.015931413902357694,0.011496876810422453,0.25,0.9032895565032959
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,56,0.9409137952247577,0.4800992567714062,0.4563758389261745,0.01577987194445074,0.011448821725885142,0.19,3.946895122528076
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,57,0.9427665718566124,0.4689147043451924,0.4496124031007752,0.016074680800879863,0.010401553668337964,0.32,0.8292725086212158
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,58,0.9419849317150487,0.48574246998853715,0.422360248447205,0.01565204190617267,0.011174949864224992,0.18,0.8658983707427979
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,59,0.9423468021509579,0.46911649441500924,0.4520547945205479,0.016017752383518668,0.012800846889491126,0.21,0.8700613975524902
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,60,0.9420971115501805,0.4788985159505179,0.4722222222222222,0.015745811030382192,0.010936223519854049,0.22,0.8720152378082275
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,61,0.9403927017970486,0.47299325676499493,0.4489795918367347,0.01588452032931422,0.011949083644548896,0.21,0.930478572845459
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,62,0.941995787828126,0.4609967441637063,0.45925925925925926,0.016015247366607394,0.010715234854737927,0.29,0.869351863861084
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,63,0.9390501624798258,0.4559949792787256,0.4460431654676259,0.01612130372701767,0.012198581364185978,0.26,0.866412878036499
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,64,0.9397883781690803,0.4697467076178746,0.4230769230769231,0.016167923747035393,0.011710432979575339,0.18,0.8516876697540283
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,65,0.9377691411367074,0.46878647720325595,0.43243243243243246,0.01592569974326424,0.012266848009284863,0.23,0.874413013458252
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,66,0.9385399251651939,0.47185686043143227,0.4492753623188406,0.015908093108773686,0.01229643253080999,0.24,0.8753347396850586
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,67,0.9423287086291624,0.474243201952239,0.425,0.015968009630911193,0.011077966956462867,0.18,0.8774011135101318
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,68,0.9393070904893213,0.48247502707301415,0.48226950354609927,0.015656146988957897,0.011392914872332212,0.24,3.9382078647613525
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,69,0.9381346302769755,0.460495043016374,0.4375,0.015913940224409312,0.012832361186245549,0.18,0.846243143081665
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,70,0.941518118852726,0.47027117967090376,0.4246575342465753,0.01609513294137741,0.01199312611002145,0.22,0.8686501979827881
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,71,0.9436567731289489,0.4684794026950662,0.4492753623188406,0.01587119582868903,0.011584087786063456,0.23,0.8771955966949463
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,42,0.940208147874735,0.4951347068979053,0.475,0.015375130610640476,0.009830621128505043,0.18,0.880258321762085
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,43,0.9407762844591122,0.4786320599979781,0.49295774647887325,0.015607899810918946,0.010271788185640963,0.22,0.876129150390625
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,44,0.9400851119265259,0.4743587233522319,0.4393063583815029,0.01584201977657574,0.011543330231872572,0.12,0.8454525470733643
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,45,0.9429438883702079,0.4859185937944361,0.460431654676259,0.015712147912582356,0.011951078836662134,0.27,0.8406693935394287
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,46,0.9416520109140124,0.46857049366425474,0.4230769230769231,0.015950346766728164,0.011909511118402421,0.2,0.881685733795166
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,47,0.9395712559075349,0.48264611929153306,0.4720496894409938,0.015622894689217843,0.01043957199714922,0.15,0.8806061744689941
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,48,0.9413046152955397,0.47489013786902234,0.4605263157894737,0.015733248056806922,0.010632577230830997,0.22,0.8745648860931396
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,49,0.941279284365026,0.47422468205438406,0.48,0.015638154307824233,0.010425371150175038,0.4,0.8587713241577148
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,50,0.9400055004306258,0.4688675076981776,0.4484848484848485,0.01583342355040695,0.010843213372203805,0.16,3.570396900177002
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,51,0.9389705509839257,0.4644563770121873,0.45962732919254656,0.015787948385563938,0.010614692426953431,0.17,1.0032525062561035
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,52,0.9410802556252759,0.4724482292668653,0.46258503401360546,0.015747524437646192,0.011021314638617078,0.24,0.8749668598175049
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,53,0.9411236800775851,0.473498694299378,0.48226950354609927,0.0158301719316243,0.011109949568656777,0.24,0.8786845207214355
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,54,0.9359344580266481,0.46575634328288185,0.46616541353383456,0.01587563989060075,0.010809470837957157,0.35000000000000003,0.882469654083252
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,55,0.940092349335244,0.47809905843738293,0.48120300751879697,0.01573385556378433,0.011743107013121095,0.29,0.8435304164886475
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,56,0.939531450159585,0.4812668556934197,0.4431818181818182,0.015523573004210724,0.010248310650277833,0.12,0.8446249961853027
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,57,0.943186341562267,0.4673936710812507,0.417910447761194,0.016195691189238363,0.011191065358815555,0.33,0.8873910903930664
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,58,0.9445686866274399,0.4801847901979747,0.4639175257731959,0.01552771049431727,0.010589372308540497,0.09,0.8778254985809326
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,59,0.9428968452135397,0.4794857824910445,0.4370860927152318,0.016035505207436226,0.011886209626503752,0.2,0.9380743503570557
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,60,0.9423033776986488,0.4780843175020439,0.43386243386243384,0.01571947045000673,0.009607032809467965,0.12,0.8754844665527344
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,61,0.9422780467681352,0.4823891971234114,0.46258503401360546,0.015860214811873,0.012082161035165835,0.24,0.8414831161499023
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,62,0.9418220900188897,0.46085598692791435,0.44871794871794873,0.01590358544102874,0.01103018353067532,0.18,2.278203010559082
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,63,0.9361371054707572,0.4773471812138409,0.4935064935064935,0.015684940167561123,0.010565508073437955,0.2,2.2863669395446777
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,64,0.9397992342821577,0.47650680743832563,0.45161290322580644,0.015869318617790475,0.010220561392770897,0.19,0.8757524490356445
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,65,0.9364881197935891,0.4676833315577609,0.46511627906976744,0.015772319732734068,0.010395688168430605,0.15,0.8549022674560547
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,66,0.9401791982398622,0.49003218622577355,0.43564356435643564,0.01561917802323216,0.010890520405079486,0.09,0.8464357852935791
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,67,0.9450119779114285,0.480134234251243,0.4489795918367347,0.015617970089789098,0.011483598943434701,0.09,0.8845357894897461
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,68,0.9421550108199259,0.4779450664425569,0.4927536231884058,0.015685101334634563,0.01149408304884193,0.26,0.8881504535675049
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,69,0.9364085082976892,0.4719497799776111,0.4740740740740741,0.015869066779524984,0.011493265709592677,0.26,0.8719449043273926
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,70,0.938825802809562,0.46762057125803724,0.460431654676259,0.016049285056584293,0.012167948850388632,0.26,0.9098820686340332
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,71,0.9456217295959355,0.475089481805488,0.45751633986928103,0.01577132675286091,0.010975956426283018,0.18,0.882756233215332
