SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
OF,GES,XGBoost,4,17,ddad07b04d5a43ea,0.9333687966360524,0.4599022632906456,0.4503311258278146,0.015938345539780463,0.010226041788840913
OF,GES,LightGBM,4,17,ddad07b04d5a43ea,0.9235042085531696,0.44084554052087327,0.4482758620689655,0.016383301602489245,0.016109840369468616
OF,GES,Logit,4,17,ddad07b04d5a43ea,0.9209349284582148,0.24670965108174955,0.28368794326241137,0.019570220332890152,0.0108521388936542
OF,GES,RF,4,17,ddad07b04d5a43ea,0.9168512205889803,0.4324432284730956,0.4117647058823529,0.016062882862734135,0.003495107632093932
OF,GES,FFMLP,4,17,ddad07b04d5a43ea,0.88977426522208,0.2650266028497291,0.3708609271523179,0.019622664905836352,0.00902410109624004
OF,GES,XGBoost,5,18,ae5e4415360a9a1b,0.9386882920439166,0.4603103764251811,0.463768115942029,0.01611929338514108,0.0109939763089707
OF,GES,LightGBM,5,18,ae5e4415360a9a1b,0.9296958117115748,0.43845487844182934,0.4470588235294118,0.016524135397239518,0.01591582148665565
OF,GES,RF,5,18,ae5e4415360a9a1b,0.9273183229476518,0.4181867824316328,0.43356643356643354,0.01619352530053117,0.0030740844282918637
OF,GES,Logit,5,18,ae5e4415360a9a1b,0.9216514319213148,0.24184123973848212,0.39,0.019788282983793745,0.01208662223309169
OF,GES,FFMLP,5,18,ae5e4415360a9a1b,0.8600683211382997,0.21427418518189528,0.32335329341317365,0.020336782840770118,0.007871563481008136
OF,GES,XGBoost,6,19,ce6ce007ddb29321,0.9370562563779664,0.469611128032501,0.4444444444444444,0.01587982265085113,0.011050908327433844
OF,GES,LightGBM,6,19,ce6ce007ddb29321,0.9325871564944886,0.44987986686988096,0.4642857142857143,0.0163369736232465,0.015413893361585686
OF,GES,RF,6,19,ce6ce007ddb29321,0.9268967438898177,0.4357543659298319,0.4233576642335766,0.01600429074643556,0.006168856583729382
OF,GES,Logit,6,19,ce6ce007ddb29321,0.920033871072801,0.24388215904627927,0.3137254901960784,0.01962389569891223,0.0122676213953594
OF,GES,FFMLP,6,19,ce6ce007ddb29321,0.8806334180110152,0.2371053162572061,0.3469387755102041,0.019937051020763763,0.009243598696014167
OF,GES,XGBoost,7,20,21dc070e2e7bdef2,0.9407690470503941,0.48090258933377394,0.4722222222222222,0.01576692605372747,0.01163927564719785
OF,GES,LightGBM,7,20,21dc070e2e7bdef2,0.9384711697823711,0.46036632609835726,0.4878048780487805,0.01651081430400875,0.015990207279992244
OF,GES,RF,7,20,21dc070e2e7bdef2,0.931709620687409,0.4293800185546236,0.40268456375838924,0.01608900083869164,0.004410958904109588
OF,GES,Logit,7,20,21dc070e2e7bdef2,0.9209494032756511,0.25211989499584997,0.38202247191011235,0.019831163458149628,0.013310214105552517
OF,GES,FFMLP,7,20,21dc070e2e7bdef2,0.8658075862518184,0.265032615614733,0.3592814371257485,0.019805596595709855,0.008687075709693416
OF,GES,XGBoost,8,21,0a51d1df36fd1f1a,0.9433708954845806,0.47026549152929903,0.4666666666666667,0.015797728513195705,0.010718292611965382
OF,GES,LightGBM,8,21,0a51d1df36fd1f1a,0.9339296958117116,0.46250629712127084,0.4793388429752066,0.01647331060698013,0.01635920570162083
OF,GES,RF,8,21,0a51d1df36fd1f1a,0.9252086183063016,0.42559352002452033,0.3973509933774834,0.01608329102599944,0.004535085266983504
OF,GES,Logit,8,21,0a51d1df36fd1f1a,0.9214306909554104,0.25215697508067025,0.384180790960452,0.019843756792614665,0.013323571003435793
OF,GES,FFMLP,8,21,0a51d1df36fd1f1a,0.8790954686584015,0.24836295396319902,0.35406698564593303,0.019613365523929602,0.00814421520367169
OF,GES,XGBoost,9,22,50839a69584b8c59,0.9399403637521622,0.4592900776916133,0.445859872611465,0.01593550184732617,0.010796598876470546
OF,GES,LightGBM,9,22,50839a69584b8c59,0.9343096597694162,0.4713449144311177,0.48,0.016287087271744233,0.015946383128799094
OF,GES,RF,9,22,50839a69584b8c59,0.9230717733822582,0.417146511137378,0.41333333333333333,0.016314668157674028,0.004093933463796477
OF,GES,Logit,9,22,50839a69584b8c59,0.9213293672333557,0.2513029878297942,0.38202247191011235,0.01985393176807313,0.013247010650136146
OF,GES,FFMLP,9,22,50839a69584b8c59,0.8841109929001021,0.2935604288739947,0.4,0.019563440690528858,0.007834409147725947
OF,GES,XGBoost,10,23,45d462aac5c1d505,0.9397775220560031,0.4581493644497184,0.4662576687116564,0.015949338477015778,0.011332768498018262
OF,GES,LightGBM,10,23,45d462aac5c1d505,0.9333181347750252,0.46173763373710786,0.4539877300613497,0.01675665787697507,0.017147030663055028
OF,GES,RF,10,23,45d462aac5c1d505,0.928867128413343,0.4205363313068603,0.4129032258064516,0.01625325132792843,0.004257198769918926
OF,GES,Logit,10,23,45d462aac5c1d505,0.9183294613196691,0.2487827258414705,0.3756906077348066,0.019545367161940254,0.011943764754479294
OF,GES,FFMLP,10,23,45d462aac5c1d505,0.8837744533947066,0.25711600391892553,0.3825136612021858,0.019436178271382158,0.006813697490361038
OF,GES,XGBoost,11,24,96b3c98edb6bf132,0.9408884642942441,0.4765051737550928,0.4823529411764706,0.0158602323395409,0.011712195920875893
OF,GES,LightGBM,11,24,96b3c98edb6bf132,0.9355581127733026,0.46286475350898887,0.4732824427480916,0.01692142293052928,0.016618844593583502
OF,GES,RF,11,24,96b3c98edb6bf132,0.9223371763973627,0.4201939164416702,0.42105263157894735,0.016171585127201564,0.003817724350013977
OF,GES,Logit,11,24,96b3c98edb6bf132,0.9195851517322738,0.2522402142462577,0.3891891891891892,0.01934368657752467,0.011144300049747967
OF,GES,FFMLP,11,24,96b3c98edb6bf132,0.8727554986212737,0.26208703432120606,0.40993788819875776,0.019543189028352934,0.008186447224013458
OF,GES,XGBoost,12,25,169f448468e9c4da,0.9409897880162986,0.4702620524030801,0.4794520547945205,0.015849092189419458,0.010723725865265163
OF,GES,LightGBM,12,25,169f448468e9c4da,0.9354386955294527,0.4557553581115869,0.45121951219512196,0.016628901119114404,0.016185830097604065
OF,GES,RF,12,25,169f448468e9c4da,0.9311722430900841,0.41375551678543715,0.38596491228070173,0.016301791445345264,0.005493430248811853
OF,GES,Logit,12,25,169f448468e9c4da,0.9189265475389192,0.25136296893295584,0.3804347826086957,0.019479591793031745,0.011469305531910598
OF,GES,FFMLP,12,25,169f448468e9c4da,0.878476670212997,0.23682361509904595,0.33636363636363636,0.020195833722966277,0.011247370567048833
OF,GES,XGBoost,13,26,2c764abfb8fe9cff,0.9390248315493122,0.45638871076552445,0.47297297297297297,0.016001266646002883,0.011645384087038
OF,GES,LightGBM,13,26,2c764abfb8fe9cff,0.9328296096865478,0.45315477341754773,0.4819277108433735,0.016716491204969867,0.016874078533431505
OF,GES,RF,13,26,2c764abfb8fe9cff,0.9305118295445498,0.40906650196590216,0.3878787878787879,0.016381334078837014,0.003674587643276488
OF,GES,Logit,13,26,2c764abfb8fe9cff,0.9173089866904054,0.23897353823158676,0.3125,0.01951733954874514,0.010304013518508941
